 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.9761932306388975E-01   0.0000000000000000E+00  -0.1012502475715715E+01  -0.1200000000000000E+03
 -0.9860090690354198E-01  -0.1603793274663895E-17  -0.1009068859772444E+01  -0.3535045093508914E+02
 -0.9959236078535416E-01   0.1305085497630159E-17  -0.1005629568385758E+01  -0.3604350747997866E+02
 -0.1005937839547787E+00  -0.6932850487940669E-18  -0.1002184580340804E+01  -0.3604361234652418E+02
 -0.1016052766552029E+00  -0.4850671838729458E-18  -0.9987338743152530E+00  -0.3673672047273134E+02
 -0.1026269401379835E+00  -0.4606505536277894E-18  -0.9952774288786648E+00  -0.3604363538891634E+02
 -0.1036588766725820E+00   0.9272975676644102-307  -0.9918152224918417E+00  -0.7059308123344791E+03
 -0.1047011895568019E+00   0.2919960379842918-307  -0.9883472335061809E+00  -0.7071880261517537E+03
 -0.1057539831271287E+00  -0.4113353418514590E-18  -0.9848734401630208E+00  -0.3673674373462627E+02
 -0.1068173627691746E+00   0.0000000000000000E+00  -0.9813938205929855E+00  -0.1200000000000000E+03
